session,file,path,kind,bytes,rows,columns,distinct_settings_in_file,what_it_is,produced_by,bias,z_parking,run_settings,session_log_passage,tip,sample,session_log,session_when,excluded_why,caveat,metadata_source
2026-09-17-bench,scan_slow_1.csv,sessions/data/2026-09-17-bench/scan_slow_1.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,"first image, before the read timeout was fixed",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",38-60 s; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_slow_2.csv,sessions/data/2026-09-17-bench/scan_slow_2.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,"second image, before the read timeout was fixed",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",38-60 s; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_slow_dwell_1.csv,sessions/data/2026-09-17-bench/scan_slow_dwell_1.csv,csv,963,14,"y, dir, then 9 X DAC codes 32368..33168",14 pass rows,250 loop corrections per pixel,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",60-88 s; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_slow_dwell_2.csv,sessions/data/2026-09-17-bench/scan_slow_dwell_2.csv,csv,963,14,"y, dir, then 9 X DAC codes 32368..33168",14 pass rows,250 loop corrections per pixel,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",60-88 s; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_wide_25nm_1.csv,sessions/data/2026-09-17-bench/scan_wide_25nm_1.csv,csv,2589,18,"y, dir, then 21 X DAC codes 17768..47768",18 pass rows,"wide scan, +-15000 X counts",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_wide_25nm_2.csv,sessions/data/2026-09-17-bench/scan_wide_25nm_2.csv,csv,2589,18,"y, dir, then 21 X DAC codes 17768..47768",18 pass rows,"wide scan, +-15000 X counts",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_wide_slow_1.csv,sessions/data/2026-09-17-bench/scan_wide_slow_1.csv,csv,1497,10,"y, dir, then 21 X DAC codes 28768..36768",10 pass rows,"wide scan, +-4000 X counts, slow loop",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_wide_slow_2.csv,sessions/data/2026-09-17-bench/scan_wide_slow_2.csv,csv,1497,10,"y, dir, then 21 X DAC codes 28768..36768",10 pass rows,"wide scan, +-4000 X counts, slow loop",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-18-bench,approach1.log,sessions/data/2026-09-18-bench/approach1.log,log,5644,145,free text,first line: ====================================================================,"stm_approach.py, 600 steps, no contact",Code/pc/stm_approach.py,UNKNOWN - the tool did not set a bias at this date,10000 retracted,"--motor-step 5 --max-steps 600 --z-step 200; baseline 250, single-conversion noise 1436, auto threshold 8614",sessions/2026-09-18-bench.md 3.2,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,session data README or session log
2026-09-18-bench,approach2.log,sessions/data/2026-09-18-bench/approach2.log,log,1106,26,free text,first line: ====================================================================,"after the hand-set: contact after 5 steps at Z 25,800, 20,878 counts",Code/pc/stm_approach.py,UNKNOWN - tool did not set one,10000 retracted,"--max-steps 3500; noise 1821, threshold 10923",sessions/2026-09-18-bench.md 3.4,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,session data README or session log
2026-09-18-bench,approach3.log,sessions/data/2026-09-18-bench/approach3.log,log,2746,70,free text,first line: ====================================================================,"contact after 135 steps at Z 10,200, 11,693 counts",Code/pc/stm_approach.py,"NOT SET BY THE TOOL and not recorded. Code/pc/stm_approach.py did not set a bias until it was fixed on 2026-09-19, so the bias was whatever the previous command left. The session log does not say what that was",10000 retracted,--motor-step 3 --max-steps 900 --threshold 6000,sessions/2026-09-18-bench.md 3.6,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,NOT RECORDED ANYWHERE - genuinely unknown
2026-09-18-bench,char1.csv,sessions/data/2026-09-18-bench/char1.csv,csv,6800,200,"t, phase, z, bias, value",bias: 38229; z: 10000; phase: baseline; t spans 0.07,the 200 baseline readings characterize.py aborted on,scripts/characterize.py,38229 = sample -0.5 V,10000,"columns t, phase, z, bias, value",sessions/2026-09-18-bench.md 3.6,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,"every value is 32,767 - the ADC rail. It records a railed contact, not a measurement of current",session data README or session log
2026-09-18-bench,char1.log,sessions/data/2026-09-18-bench/char1.log,log,219,3,free text,"first line: A. baseline at Z 10000, -0.5 V: mean 32767, sd 0 (n=200)","characterize.py: found the current already pinned at Z 10,000 and aborted",scripts/characterize.py,38229 = sample -0.5 V,10000,"200 baseline reads, all 32,767 (railed)",sessions/2026-09-18-bench.md 3.6,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,session data README or session log
2026-09-18-bench,console_outputs.md,sessions/data/2026-09-18-bench/console_outputs.md,md,4931,107,free text,first line: # Console outputs not saved to a file at the time,"everything not saved to a file at the time, transcribed: touch checks, noise, spectrum, Z probes, calibration steps, bias check, static scans, the park",hand transcription,"various, stated in the file",various,"prose, not a data file",sessions/2026-09-18-bench.md throughout,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,session data README or session log
2026-09-18-bench,flip1.log,sessions/data/2026-09-18-bench/flip1.log,log,349,8,free text,"first line: baseline at Z 10000, -0.5 V: [6431, 3488, 3362, 7832, 6516]","the bias flip at the onset, 01:35:06",scripts/bias_flip.py,alternating -0.5 / +0.5 / 0 V,crept 10000 -> 11900 in 50-count steps,the control that makes it a junction: the reading follows the bias sign,sessions/2026-09-18-bench.md 3.4,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,,session data README or session log
2026-09-18-bench,ft_long1.json,sessions/data/2026-09-18-bench/ft_long1.json,json,949273,30,JSON array,,"the fast tracker's raw points, five minutes","scripts/fasttrack.py, scripts/ft_run.py, scripts/ft_long.py","38229 = sample -0.5 V. NOT in the session log or the data README: read from the producing script's own source, which is committed in that session's scripts/ directory (scripts/ft_run.py:17 and scripts/ft_long.py:22, rig.bias(38229))","short fast climbs to 1,000 counts","JSON keys A, X, Y, B - hold A, an X sweep, a Y sweep, hold B; each point is [t, z, flag]",sessions/2026-09-18-bench.md 3.8,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,"THE DATA README'S OWN CAVEAT: these record where the current first passed 1,000 counts on a fast climb, and the same onsets appeared with the bias at 0 V. They locate SNAP-IN events, not a tunnelling onset. Their wobble statistics, spectrum and X/Y numbers are PROVISIONAL",recovered from the producing script's source
2026-09-18-bench,ft_long1.log,sessions/data/2026-09-18-bench/ft_long1.log,log,2690,40,free text,first line: 02:16:55 positioned: onset 32750 after motor +0,"the fast tracker, five minutes","scripts/fasttrack.py, scripts/ft_run.py, scripts/ft_long.py","38229 = sample -0.5 V. NOT in the session log or the data README: read from the producing script's own source, which is committed in that session's scripts/ directory (scripts/ft_run.py:17 and scripts/ft_long.py:22, rig.bias(38229))","short fast climbs to 1,000 counts","JSON keys A, X, Y, B - hold A, an X sweep, a Y sweep, hold B; each point is [t, z, flag]",sessions/2026-09-18-bench.md 3.8,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,"THE DATA README'S OWN CAVEAT: these record where the current first passed 1,000 counts on a fast climb, and the same onsets appeared with the bias at 0 V. They locate SNAP-IN events, not a tunnelling onset. Their wobble statistics, spectrum and X/Y numbers are PROVISIONAL",recovered from the producing script's source
2026-09-18-bench,ft_run1.json,sessions/data/2026-09-18-bench/ft_run1.json,json,284904,3817,"JSON object, keys: A, X, Y, B",,"the fast tracker's raw points, first run","scripts/fasttrack.py, scripts/ft_run.py, scripts/ft_long.py","38229 = sample -0.5 V. NOT in the session log or the data README: read from the producing script's own source, which is committed in that session's scripts/ directory (scripts/ft_run.py:17 and scripts/ft_long.py:22, rig.bias(38229))","short fast climbs to 1,000 counts","JSON keys A, X, Y, B - hold A, an X sweep, a Y sweep, hold B; each point is [t, z, flag]",sessions/2026-09-18-bench.md 3.8,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,"THE DATA README'S OWN CAVEAT: these record where the current first passed 1,000 counts on a fast climb, and the same onsets appeared with the bias at 0 V. They locate SNAP-IN events, not a tunnelling onset. Their wobble statistics, spectrum and X/Y numbers are PROVISIONAL",recovered from the producing script's source
2026-09-18-bench,ft_run1.log,sessions/data/2026-09-18-bench/ft_run1.log,log,1118,8,free text,first line: 02:14:32 positioned: onset 36750 after motor -6,"the fast tracker, first run","scripts/fasttrack.py, scripts/ft_run.py, scripts/ft_long.py","38229 = sample -0.5 V. NOT in the session log or the data README: read from the producing script's own source, which is committed in that session's scripts/ directory (scripts/ft_run.py:17 and scripts/ft_long.py:22, rig.bias(38229))","short fast climbs to 1,000 counts","JSON keys A, X, Y, B - hold A, an X sweep, a Y sweep, hold B; each point is [t, z, flag]",sessions/2026-09-18-bench.md 3.8,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,"THE DATA README'S OWN CAVEAT: these record where the current first passed 1,000 counts on a fast climb, and the same onsets appeared with the bias at 0 V. They locate SNAP-IN events, not a tunnelling onset. Their wobble statistics, spectrum and X/Y numbers are PROVISIONAL",recovered from the producing script's source
2026-09-18-bench,lash_run1.log,sessions/data/2026-09-18-bench/lash_run1.log,log,10919,181,free text,first line: 02:22:58 start: median 17200 below 0.05 none 0.00,fast-tracker medians after single motor steps,scripts/lash.py,"38229 = sample -0.5 V. NOT in the session log or the data README: read from the producing script's own source, which is committed in that session's scripts/ directory (scripts/lash.py:31 rig.bias(38229))",short fast climbs,"stopped by hand, so NO CSV was written",sessions/2026-09-18-bench.md 3.8,"the same blunt placeholder, tip holder REBUILT that day (~2.2 mm further back)","all-gold plate, continuity to the bias wire confirmed",sessions/2026-09-18-bench.md,"evening of 2026-09-17 local, 01:00-02:40 UTC 2026-09-18",,same fast-tracker caveat; and the run was stopped by hand so the log is the only record,recovered from the producing script's source
